"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_UNO_R3","","","","Module:Arduino_UNO_R3","https://www.arduino.cc/en/Main/arduinoBoardUno"
"ACS1","1","ACS772-Sol","","","","",""
"ACS2","1","ACS772-Bat","","","","",""
"ACS3","1","ACS772-M2","","","","",""
"ACS4","1","ACS772-M1","","","","",""
"ADS1115_Module1,ADS1115_Module2,Charge_Controller?,HC-06_Module?","4","~","","","","",""
"BT?","1","Battery","","","","","~"
"C1,C2,C4,C6,C8,C10","6","0.1u","","","","","~"
"C3,C5,C7,C9","4","10n","","","","","~"
"CB1","1","CircuitBreaker_40A","","","","","~"
"F1","1","20A Fuse","","","","","~"
"M1","1","24V_80lb","","","","","~"
"M2","1","24V_65lb","","","","","~"
"R1,R2,R3,R4","4","10k","","","","","~"
"R5,R6,R7,R8","4","4.7k","","","","","~"
"SC?","1","Solar_Cells","","","","","~"
"SW1","1","3_Pos_Switch","","","","","~"
"SW2","1","Deadman_Switch","","","","","~"
"SW3","1","Charge_Switch1","","","","","~"
"SW4","1","Charge_Switch2","","","","","~"
"U1","1","Step_Down_Converter","","","","Converter_DCDC:Converter_DCDC_Silvertel_Ag99xxLP_THT","https://silvertel.com/images/datasheets/Ag9900M-datasheet-ultra-miniature-isolated-Power-over-Ethernet-POE-module.pdf"
